収集日,タイトル,URL,メモ,ステータス
2026-07-06,＜独自＞辺野古沖事故　引率教員、死亡生徒の顔と名前一致せず　遺族「ずさんすぎる」,https://www.sankei.com/article/20260706-ISNY3V7WWBI6NHRLJTITNQ4FSM/,武石知華さんと先発組の引率教師とみられる女性を乗せ、辺野古漁港を出発する救急車（防犯カメラ映像から。画像の一部を加工しています） 沖縄県名護市辺野古沖で今年3月、船2隻が転覆し、平和学習を実施していた同志社国際高校（京都府）の2年、武石知華,未確認
2026-07-06,「はたらく細胞」連載当時の清水茜さんが20歳未満だったことを知って絶句…すでに謝罪はされているがさすがに酷すぎる状況だったことに心痛む,https://togetter.com/li/2717543,藤ノ木優 @kyusan_obgy 「はたらく細胞」 連載当時の清水先生の年齢が20に満たないということを知って絶句 編集部の対応は本当にあり得ない 医療監修だけでなく、他にも粗相が多過ぎて、人間をなんだと思ってるのか？と怒りが湧くのですが,未確認
2026-07-13,体育用マットの中で死亡した中１男子の父「戦い続ける」…事件から３３年、元生徒３人は賠償に応じず（読売新聞オンライン） - Yahoo!ニュース,https://news.yahoo.co.jp/articles/236d631a0241af720afe6f9007045952734be7ed,山形県新庄市の市立旧明倫中学校で１９９３年、１年生の児玉有平君（当時１３歳）が体育用マットの中で死亡した事件を巡り、遺族が傷害や監禁致死容疑で逮捕・補導された元生徒３人を相手取り、確定した民事訴訟の損害賠償額約５７６０万円の支払いを求めた訴,未確認
2026-07-13,体育用マットの中で死亡した中１男子の父「戦い続ける」…事件から３３年、元生徒３人は賠償に応じず,https://www.yomiuri.co.jp/national/20260712-GYT1T00089/,【読売新聞】 山形県新庄市の市立旧明倫中学校で１９９３年、１年生の児玉有平君（当時１３歳）が体育用マットの中で死亡した事件を巡り、遺族が傷害や監禁致死容疑で逮捕・補導された元生徒３人を相手取り、確定した民事訴訟の損害賠償額約５７６０,未確認
2026-07-13,親も子も教師は選べない　サイトから消えた「辺野古基金」賛同団体の半数近くは教職員組合　メディアウオッチ　皆川豪志,https://www.sankei.com/article/20260712-5WGPN3CNIJG57IJAY5XNU2M3H4/,辺野古沖事故後初めて開かれた集会には主催者発表で約600人が参加した＝7月4日、沖縄県名護市（大竹直樹撮影）沖縄県名護市辺野古沖で「平和学習」中の同志社国際高校の生徒が乗った抗議船が転覆し、女子高校生ら2人が死亡した事故は、教育現場の政治性,未確認
2026-07-13,タマネギが２貫にまたがって載っている寿司について考える,https://dailyportalz.jp/kiji/suhi-no-ue-no-tamanegi,1987年東京出身。会社員。ハンバーグやカレーやチキンライスなどが好物なので、舌が子供すぎやしないかと心配になるときがある。だがコーヒーはブラックでも飲める。動画インタビュー 前の記事：準備をして雨宿り ＞ライターwiki 一手目が分からな,未確認
2026-07-13,夫に「親子丼が食べたい(作ってほしい)」と言ったら『作るのは別にいいけどその前に一回、なか卯の親子丼を食べてきてくれ。俺の親子丼なんかで満足してる場合じゃない』と言われた,https://togetter.com/li/2718994,下田美咲@エッセイスト @shimodamisaki 夫に「親子丼が食べたい（作ってほしい）」と言ったら「作るのは別にいいけどその前に一回、なか卯の親子丼を食べてきてくれ。俺が作るのより絶対に美味しいんだ。俺の親子丼となか卯の親子丼が並んで,未確認
2026-07-20,生徒指導案件で加害者の保護者を呼ぶ時に「まだ仕事中なので19:30からしか学校に行けません」と言われるとモヤモヤする…加害者側は一刻も早く学校に駆けつけるべきでは？,https://togetter.com/li/2722537,真由子 @mayuko4460 生徒指導案件で、加害者の生徒の保護者を呼ぶときに「まだ仕事中なので１９：３０からしか学校に行けません」みたいなことを言われるとき、モヤモヤします。「私たちも仕事中なんですけど？」と思うのはおかしいのか。被害者,未確認
2026-07-20,「ほんまにショート動画だけはあかんよ」→幼少期から見せている親は、今は楽でも小学校くらいから絶望が待っている、という話に共感・反論・エビデンスなどが寄せられる,https://togetter.com/li/2722564,たこ(🐙) ☺︎6y＋3y @takokotakotako うちの子もYouTube結果ショート動画ばかり見るようになり、思考が止まってるし言葉遣いも汚くなる一方だったので一切禁止にした。（折り紙動画のみOKにした。アプリは消した）その方が,未確認
2026-07-20,夏休みの体験格差の話、教育実習先の小学校で「僕ハワイに行ったー」「私もー」みたいな会話に合わせて「私は海外に行ったことないよー」と言ったらクラス全員から「えっ！嘘っ！」とドン引かれた,https://togetter.com/li/2722515,ハッピーデイズ@学校にいる人 @Ohhappydays6 教育実習先の小学校で「僕ハワイに行ったー」「私もー」みたいな会話に合わせて 「すごーい！私は海外に行ったことないよー」と言ったらクラス全員から「えっ！嘘っ！」とドン引かれた。 後で担,未確認
